Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
251,320,104,3,3.0,2.5,8.57,1,0.74
336,325,111,4,4.0,4.5,9.11,1,0.83
318,300,99,1,1.0,2.5,8.01,0,0.58
63,304,105,2,3.0,3.0,8.2,1,0.54
28,298,98,2,1.5,2.5,7.5,1,0.44
283,312,106,3,4.0,3.5,8.79,1,0.81
341,312,107,3,3.0,3.0,8.46,1,0.75
48,339,119,5,4.5,4.0,9.7,0,0.89
379,303,98,1,2.0,2.5,7.65,0,0.56
150,311,106,2,3.5,3.0,8.26,1,0.79
164,317,105,3,3.5,3.0,8.56,0,0.68
185,316,106,2,2.5,4.0,8.32,0,0.72
238,329,114,5,4.5,5.0,9.19,1,0.86
27,322,109,5,4.5,3.5,8.8,0,0.76
45,326,113,5,4.5,4.0,9.4,1,0.91
216,330,116,5,5.0,4.5,9.36,1,0.93
149,339,116,4,4.0,3.5,9.8,1,0.96
387,302,101,2,2.5,3.5,7.96,0,0.46
348,299,94,1,1.0,1.0,7.34,0,0.42
222,316,110,3,3.5,4.0,8.56,0,0.75
208,310,102,3,3.5,4.0,8.02,1,0.66
338,332,118,5,5.0,5.0,9.47,1,0.94
32,327,103,3,4.0,4.0,8.3,1,0.74
118,290,104,4,2.0,2.5,7.46,0,0.45
136,314,109,4,3.5,4.0,8.77,1,0.82
370,301,98,1,2.0,3.0,8.03,1,0.67
332,311,105,2,3.0,2.0,8.12,1,0.73
314,301,100,3,3.5,3.0,8.04,0,0.67
363,338,115,5,4.5,5.0,9.23,1,0.91
278,320,101,2,2.5,3.0,8.62,0,0.7
299,330,114,3,4.5,4.5,9.24,1,0.9
96,304,100,4,1.5,2.5,7.84,0,0.42
40,307,108,2,4.0,3.5,7.7,0,0.48
351,318,107,3,3.0,3.5,8.27,1,0.74
359,314,105,2,2.5,2.0,7.64,0,0.7
13,328,112,4,4.0,4.5,9.1,1,0.78
128,319,112,3,2.5,2.0,8.71,1,0.78
104,317,104,2,4.5,4.0,8.47,0,0.57
395,329,111,4,4.5,4.0,9.23,1,0.89
76,329,114,2,2.0,4.0,8.56,1,0.72
340,324,107,5,3.5,4.0,8.66,1,0.81
288,324,114,5,5.0,4.5,9.08,1,0.89
209,305,106,2,3.0,3.0,8.16,0,0.64
46,322,110,5,5.0,4.0,9.1,1,0.88
166,322,110,5,4.5,4.0,8.97,0,0.78
337,319,110,3,3.0,2.5,8.79,0,0.72
365,313,102,3,3.5,4.0,8.9,1,0.77
320,327,113,4,3.5,3.0,8.69,1,0.8
309,312,108,3,3.5,3.0,8.53,0,0.69
310,308,110,4,3.5,3.0,8.6,0,0.7
327,299,100,3,2.0,2.0,8.02,0,0.63
116,310,106,4,4.5,4.5,9.04,1,0.66
186,327,113,4,4.5,4.5,9.11,1,0.89
83,320,110,5,5.0,4.5,9.22,1,0.92
364,306,103,2,2.5,3.0,8.36,0,0.69
175,321,111,4,4.0,4.0,8.97,1,0.87
360,321,107,2,2.0,1.5,8.44,0,0.81
151,334,114,4,4.0,4.0,9.43,1,0.93
366,330,114,4,4.5,3.0,9.17,1,0.86
18,319,106,3,4.0,3.0,8.0,1,0.65
129,326,112,3,3.5,3.0,9.1,1,0.84
323,314,107,2,2.5,4.0,8.27,0,0.72
271,306,105,2,2.5,3.0,8.22,1,0.72
311,320,104,3,3.0,3.5,8.74,1,0.76
267,312,105,2,2.0,2.5,8.45,0,0.72
203,340,120,5,4.5,4.5,9.91,1,0.97
97,306,100,2,3.0,3.0,8.0,0,0.48
