Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
66,325,112,4,3.5,3.5,8.92,0,0.55
157,315,105,3,2.0,2.5,8.34,0,0.7
230,324,111,4,3.0,3.0,9.01,1,0.82
358,301,104,2,3.5,3.5,7.89,1,0.68
102,312,105,2,2.5,3.0,8.12,0,0.64
319,324,111,3,2.5,2.0,8.8,1,0.79
228,312,110,2,3.5,3.0,8.53,0,0.64
371,310,103,2,2.5,2.5,8.24,0,0.72
259,326,102,4,5.0,5.0,8.76,1,0.77
274,312,99,1,1.0,1.5,8.01,1,0.52
245,314,107,2,2.5,4.0,8.56,0,0.63
138,316,100,2,1.5,3.0,8.16,1,0.71
329,324,112,4,4.0,3.5,8.77,1,0.8
71,332,118,5,5.0,5.0,9.64,1,0.94
248,311,104,2,2.5,3.5,8.48,0,0.71
334,319,108,3,3.0,3.5,8.54,1,0.71
127,323,113,3,4.0,3.0,9.32,1,0.85
58,298,99,2,4.0,2.0,7.6,0,0.46
223,324,113,4,4.5,4.0,8.79,0,0.76
156,312,109,3,3.0,3.0,8.69,0,0.77
275,315,100,1,2.0,2.5,7.95,0,0.58
55,322,110,3,3.0,3.5,8.0,0,0.7
64,315,107,2,4.0,3.0,8.5,1,0.56
75,314,106,3,3.0,5.0,8.9,0,0.74
168,313,102,3,2.0,3.0,8.27,0,0.64
4,322,110,3,3.5,2.5,8.67,1,0.8
304,323,107,3,3.5,3.5,8.55,1,0.73
260,331,119,4,5.0,4.5,9.34,1,0.9
159,306,106,2,2.0,2.5,8.14,0,0.61
368,311,98,1,1.0,2.5,7.46,0,0.57
277,329,113,5,5.0,4.5,9.45,1,0.89
227,306,110,2,3.5,4.0,8.45,0,0.63
306,321,109,3,3.5,3.5,8.8,1,0.74
109,331,116,5,5.0,5.0,9.38,1,0.93
237,325,112,4,4.0,4.5,9.17,1,0.85
345,295,96,2,1.5,2.0,7.34,0,0.47
29,295,93,1,2.0,2.0,7.2,0,0.46
90,316,109,4,4.5,3.5,8.76,1,0.74
244,325,114,3,3.5,3.0,9.04,1,0.76
47,329,114,5,4.0,5.0,9.3,1,0.86
39,304,105,1,3.0,1.5,7.5,0,0.52
210,301,104,3,3.5,4.0,8.12,1,0.68
200,313,107,3,4.0,4.5,8.69,0,0.72
282,317,110,3,4.0,4.5,9.11,1,0.8
300,305,112,3,3.0,3.5,8.65,0,0.71
154,324,105,3,3.0,4.0,8.75,0,0.79
82,340,120,4,5.0,5.0,9.5,1,0.96
236,326,111,5,4.5,4.0,9.23,1,0.88
316,308,104,2,2.5,3.0,8.07,0,0.65
33,338,118,4,3.0,4.5,9.4,1,0.91
265,325,110,2,3.0,2.5,8.76,1,0.75
294,312,98,1,3.5,3.0,8.18,1,0.64
81,312,105,3,2.0,3.0,8.02,1,0.5
14,307,109,3,4.0,3.0,8.0,1,0.62
22,325,114,4,3.0,2.0,8.4,0,0.7
293,302,99,2,1.0,2.0,7.97,0,0.56
24,334,119,5,5.0,4.5,9.7,1,0.95
353,303,100,2,3.0,3.5,8.06,1,0.64
72,336,112,5,5.0,5.0,9.76,1,0.96
161,315,103,1,1.5,2.0,7.86,0,0.57
262,312,104,3,3.5,4.0,8.09,0,0.71
145,325,112,2,3.0,3.5,8.96,1,0.8
135,333,113,5,4.0,4.0,9.28,1,0.89
375,315,105,2,2.0,2.5,7.65,0,0.39
354,300,102,3,3.5,2.5,8.17,0,0.63
77,327,112,3,3.0,3.0,8.72,1,0.74
325,315,104,3,3.0,2.5,8.33,0,0.67
328,295,101,2,2.5,2.0,7.86,0,0.69
144,340,120,4,4.5,4.0,9.92,1,0.97
301,309,106,2,2.5,2.5,8.0,0,0.62
170,311,99,2,2.5,3.0,7.98,0,0.65
305,313,106,2,2.5,2.0,8.43,0,0.62
255,321,114,4,4.0,5.0,9.12,0,0.85
103,314,106,2,4.0,3.5,8.25,0,0.62
195,316,109,3,3.5,3.0,8.76,0,0.77
287,336,118,5,4.5,4.0,9.19,1,0.92
137,312,103,3,5.0,4.0,8.45,0,0.76
62,307,101,3,4.0,3.0,8.2,0,0.47
56,320,103,3,3.0,3.0,7.7,0,0.64
85,340,115,5,4.5,4.5,9.45,1,0.94
